scorer,,,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img00844.png,723.6405522778415,181.1060696536181,716.3750455071729,247.10108948719108,665.3146784799743,214.8099482842196,780.1500493830415,234.99191153607677,723.6405522778415,188.3715764242867,,,686.5057398944243,216.82814460940529,754.92259531822,224.49729064511104,743.0152369996243,198.46255805021528,,,,,699.82583564065,197.25164025510384,718.9987007299143,220.46089799473958
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img00880.png,721.4205363201372,180.50061075606243,713.3477510193944,247.10108948719105,661.4801054621214,220.6627176272582,776.7191156302257,234.18463300600246,722.6314541152486,186.1515604665824,,,683.4784454066456,213.80085012162675,749.8771045052557,219.85543909718388,740.7952210419202,196.24254209251097,739.5843032468086,237.41374712629963,690.5421325447958,234.58827227103959,698.2112785805015,193.01342797221383,718.19142219984,214.80994828421956
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img00899.png,724.0441915428786,180.90425002109953,715.5677669770986,244.07379499941248,667.9383337027157,217.0299642419239,780.1500493830415,233.57917410844675,721.8241755851743,186.75701936413813,,,683.0748061416085,210.369916368811,752.5007597279972,223.48819248251817,746.2443511199215,202.4989507005867,,,,,700.2294749056871,192.81160833969528,718.7968810973957,216.22268571184958
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img00951.png,720.6132577900629,180.29879112354385,716.1732258746542,245.68835205956103,666.5255962750856,215.61722681429387,777.7282137928187,231.7627974157796,722.0259952176929,190.18795311695385,,,685.4966417318315,212.7917519590339,754.92259531822,223.69001211503672,743.8225155296986,199.87529547784527,,,,,699.6240160081314,193.417067237251,718.5950614648772,219.0481605671096
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img00973.png,719.8059792599887,179.89515185850667,714.3568491819872,244.27561463193103,664.7092195824185,214.608128651701,778.7373119554115,230.3500599881496,720.0077988925071,191.60069054458384,,,681.2584294489415,214.20448938666388,750.4825634028115,225.10274954266674,,,,,694.17488593013,194.6279850323624,741.6024995719944,203.1044095981424,716.9978687101132,218.0463736909944
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img01032.png,720.2096185250258,180.50061075606243,714.3568491819872,242.25741830674534,664.1037606848628,216.62632497688674,776.1136567326702,229.1391421930382,718.7968810973957,190.591592381991,,,683.2766257741271,214.0026697541453,743.0152369996243,218.03906240451676,739.5843032468086,200.88439364043813,,,695.7894429902785,196.04072245999242,714.1550295494686,215.41540718177532,,
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img01208.png,720.8150774225815,182.7206267137667,714.1550295494686,239.23012381896675,667.5346944376786,214.00266975414533,775.7100174676331,229.3409618255568,718.7968810973957,194.829804664881,713.3477510193943,231.96461704829818,695.1839840927229,212.3881126939967,735.1442713314,216.42450534436816,731.1078786810286,201.0862132729567,728.4842234582871,227.72640476540818,702.4494908633915,224.6991102776296,704.06404792354,198.05891878517815,715.5677669770986,211.98447342895957
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img01295.png,720.8150774225815,182.31698744872955,713.3477510193943,237.6155667588182,666.7274159076042,213.80085012162672,772.2790837148171,229.94642072311242,715.961353223229,193.61523122653074,716.1777954287029,232.58104287557035,694.5785251951671,211.98447342895957,736.3679838778475,215.01725138159645,731.1215873431742,200.48715175106895,731.3215791540733,227.125515421901,703.2622528583238,226.32097862425584,703.6604086585029,197.655279520141,715.7714144312366,214.40722292999214
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img01420.png,721.4205363201372,183.72972487635957,713.3477510193943,238.0192060238553,666.1219570100485,212.58993232651528,772.0772640822986,230.55187962066816,717.9896025673214,193.21524760473244,715.7695866096172,232.77189557837244,694.17488593013,211.782653796441,735.7497302289559,215.01176791673817,730.7042394159914,199.06801694777099,729.8969608859172,227.32276550037105,700.6331141707243,226.51548697029676,702.65131049591,197.25164025510384,715.1641277120615,211.78265379644102
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img01423.png,718.9987007299143,182.31698744872955,714.3568491819872,237.6155667588182,663.4983017873071,212.79175195903386,772.4809033473358,229.74460109059387,719.2005203624328,193.21524760473244,715.5677669770986,233.37735447592814,696.1930822553157,211.78265379644102,735.7497302289557,215.41540718177532,731.1078786810286,200.27893474288243,731.5115179460657,227.12094586785247,701.2385730682801,224.90092991014814,703.2567693934657,197.45345988762244,716.1732258746543,213.19539122407102
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img01549.png,718.9987007299144,183.32608561132238,713.5495706519129,238.4228452888925,666.1219570100485,214.20448938666385,767.8390517994087,227.92822439792673,719.2005203624328,195.63708319495527,714.1550295494686,232.77189557837247,696.7985411528714,210.369916368811,734.3369928013258,215.41540718177532,730.5024197834729,201.2880329054753,727.4751252956943,228.33186366296388,700.4312945382057,223.69001211503672,704.8713264536143,196.44436172502958,716.1732258746543,214.608128651701
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img01606.png,719.6041596274699,183.3260856113224,714.1550295494686,236.2028293311882,667.5346944376785,215.61722681429387,773.0863622448916,229.1391421930382,719.8059792599886,193.82070650228815,713.7596154817188,231.75365830768254,697.2021804179086,212.18629306147815,735.5479105964372,215.01176791673817,730.9060590485101,198.46255805021528,728.4842234582871,227.12094586785247,701.23857306828,225.70820844022245,703.4585890259843,198.8661973152524,716.77868477221,214.20448938666388
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img01720.png,719.60415962747,183.527905243841,714.3568491819872,237.81738639133675,666.323776642567,215.61722681429387,774.9027389375588,231.96461704829818,718.5950614648772,196.44436172502958,713.3477510193943,229.7446010905939,697.2021804179086,209.7644574712553,732.7224357411772,214.608128651701,730.7042394159914,201.2880329054753,728.2824038257686,226.1118477052596,701.8440319658357,224.49729064511104,703.8622282910214,198.8661973152524,715.5677669770986,212.38811269399673
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img01862.png,729.2915019883615,178.07877516583955,710.5222761641343,252.95385883022965,655.6273361190828,212.7917519590339,787.8191954187473,233.57917410844675,727.2733056631757,187.96793715924957,,,690.1384932797586,211.78265379644102,752.5007597279972,221.2681765248139,744.2261547947357,197.45345988762244,740.7952210419201,238.82648455392962,695.1839840927228,236.20282933118818,700.0276552731685,192.20614944213958,719.8059792599886,216.42450534436816
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img01906.png,728.4842234582871,183.3260856113224,713.5495706519129,241.8537790417082,663.7001214198257,211.58083416392245,780.5536886480787,230.3500599881496,,,,,685.69846136435,211.98447342895957,756.3353327458501,221.46999615733245,,,,,,,,,719.2005203624328,214.0026697541453
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img01935.png,726.2642075005829,181.71152855117384,715.36594734458,238.82648455392962,659.0582698718986,210.77355563384816,772.8845426123729,223.69001211503672,,,,,687.9184773220543,210.369916368811,752.0971204629601,216.22268571184958,,,,,,,,,718.7968810973957,214.8099482842196
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img01964.png,722.0259952176929,177.6751359008024,714.1550295494686,245.28471279452393,649.370927511007,214.40630901918246,783.3791635033386,231.35915815074247,721.2187166876186,184.33518377391528,,,690.1384932797586,213.80085012162675,747.8589081800701,216.82814460940529,740.7952210419201,194.22434576732527,,,,,698.0094589479829,192.81160833969528,718.5950614648772,212.18629306147815
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img02110.png,725.6587486030272,179.28969296095096,719.2005203624328,246.29381095711676,659.0582698718986,214.0026697541453,783.7828027683759,230.55187962066816,723.2369130128043,186.9588389966567,716.3750455071729,237.01010786126247,693.3676074000557,212.58993232651528,745.4370725898472,215.81904644681245,737.96974618666,197.0498206225853,737.1624676565857,232.16643668081676,698.2112785805015,229.54278145807532,700.4312945382057,194.42616539984385,719.4023399949515,213.59903048910815
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img02244.png,724.8514700729529,179.28969296095096,716.77868477221,246.49563058963534,654.2145986914528,216.42450534436816,788.0210150512659,233.3773544759282,720.2096185250257,188.9770353218424,718.7968810973957,236.60646859622534,694.9821644602043,211.17719489888532,745.4370725898472,215.81904644681245,736.1533694939928,198.05891878517815,736.9606480240672,230.55187962066816,700.6331141707243,227.52458513288963,703.8622282910214,195.63708319495527,718.9987007299143,214.608128651701
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img02381.png,727.6769449282128,180.09697149102527,721.8241755851743,242.86287720430104,661.2782858296029,211.98447342895957,782.9755242383015,232.16643668081676,722.6314541152486,188.16975679176812,718.1914221998401,234.5882722710396,695.1839840927229,213.19539122407102,743.4188762646615,215.61722681429387,738.5752050842158,197.85709915265957,737.1624676565857,228.13004403044533,705.6786049836886,229.94642072311245,703.8622282910214,196.04072245999242,720.6132577900629,213.3972108565896
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img02415.png,725.8605682355458,176.66603773820952,721.6223559526558,245.48653242704248,651.5909434687114,213.3972108565896,788.424654316303,234.7900919035582,723.2369130128043,192.6097887071767,718.1914221998401,232.16643668081676,698.8167374780571,210.9753752663667,743.0152369996243,213.59903048910815,736.1533694939928,198.2607384176967,734.9424516988815,228.53368329548246,704.4676871885772,227.72640476540818,706.6877031462815,195.83890282747385,721.0168970551,212.38811269399673
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img02562.png,731.7133375785843,180.29879112354382,717.9896025673214,246.8992698546725,658.8564502393799,214.40630901918246,786.0028187260801,231.76279741577963,724.2460111753971,191.60069054458384,717.7877829348029,232.77189557837247,697.2021804179086,212.38811269399673,744.2261547947357,215.81904644681245,737.3642872891044,197.85709915265957,735.7497302289557,229.7446010905939,702.8531301284286,227.52458513288963,706.2840638812443,195.63708319495527,721.2187166876186,211.98447342895957
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img02760.png,735.1442713314,181.50970891865526,718.9987007299143,247.10108948719105,659.8655484019728,215.21358754925672,784.7919009309687,232.5700759458539,722.6314541152486,189.98613348443527,718.1914221998401,232.77189557837247,697.0003607853901,210.369916368811,744.6297940597728,213.59903048910815,737.5661069216229,197.25164025510384,737.96974618666,226.1118477052596,703.8622282910214,227.32276550037102,707.0913424113186,196.04072245999242,720.2096185250257,210.16809673629245
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img02823.png,729.49332162088,180.70243038858098,718.5950614648772,245.89017169207963,660.0673680344914,213.80085012162675,787.2137365211915,232.36825631333534,722.4296344827301,184.94064267147098,715.5677669770986,237.4137471262996,693.1657877675372,210.16809673629245,746.0425314874029,214.608128651701,739.7861228793272,194.0225261348067,738.9788443492529,232.5700759458539,700.6331141707243,231.35915815074247,703.4585890259843,193.01342797221383,719.4023399949515,211.78265379644102
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img02873.png,724.8514700729529,178.68423406339525,715.5677669770986,244.27561463193106,650.5818453061186,211.78265379644102,790.0392113764515,236.60646859622534,724.2460111753971,187.76611752673097,718.9987007299143,232.77189557837247,696.1930822553157,209.96627710377385,746.44617075244,212.7917519590339,740.1897621443643,196.8480009900667,738.7770247167343,228.53368329548246,704.8713264536143,229.34096182555675,707.0913424113186,191.80251017710242,721.0168970551,211.58083416392245
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img02893.png,728.08058419325,176.8678573707281,718.9987007299143,249.11928581237677,655.0218772215271,209.96627710377385,787.2137365211915,232.16643668081676,724.4478308079158,188.16975679176812,719.2005203624328,235.79919006615103,696.5967215203528,209.56263783873672,745.8407118548844,214.608128651701,742.6115977345872,198.46255805021528,740.5934014094015,230.3500599881496,703.6604086585029,229.54278145807532,706.4858835137629,194.22434576732527,721.0168970551,212.38811269399673
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img03127.png,728.8878627233244,178.88605369591383,714.3568491819872,247.30290911970962,659.8655484019728,213.59903048910815,786.6082776236358,231.1573385182239,723.0350933802857,190.79341201450956,719.60415962747,232.77189557837247,697.8076393154643,210.9753752663667,745.0434863437168,213.18899384840307,738.7770247167343,197.85709915265957,737.5661069216229,228.33186366296388,706.8895227788,228.53368329548246,706.6877031462815,196.04072245999242,722.0259952176929,211.17719489888532
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img03192.png,729.2915019883615,177.87695553332097,718.1914221998401,250.53202324000677,654.0127790589343,214.20448938666388,791.6537684366001,232.5700759458539,723.2369130128043,188.77521568932383,720.0077988925071,234.38645263852106,695.1839840927229,211.17719489888532,747.4552689150329,215.61722681429387,742.4097781020687,199.26983658028956,737.1624676565857,231.96461704829818,702.65131049591,230.14824035563103,705.0731460861329,196.8480009900667,721.0168970551,212.58993232651528
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img03607.png,730.3006001509543,181.9133481836924,720.0077988925071,252.75203919771107,647.3527311858213,213.19539122407102,790.8464899065259,235.79919006615103,726.8696663981386,186.55519973161955,722.0259952176929,242.86287720430104,692.5603288699814,212.18629306147815,756.3353327458501,221.2681765248139,750.2807437702929,197.25164025510384,744.6297940597728,239.23012381896677,703.6604086585029,236.20282933118818,705.4767853511701,190.99523164702813,724.6496504404344,213.80085012162675
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img03700.png,721.2187166876186,189.178854954361,718.5950614648772,224.49729064511104,668.5437926002714,208.55353967614388,758.5553487035544,214.8099482842196,,,,,692.9639681350186,209.7644574712553,746.44617075244,215.41540718177532,,,,,,,,,718.5950614648772,209.96627710377385
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img03850.png,723.6405522778415,176.8678573707281,717.9896025673214,248.9174661798582,653.0036808963414,212.7917519590339,783.1773438708201,230.55187962066816,718.9987007299143,192.6097887071767,715.9714062421358,228.33186366296388,699.2203767430943,211.37901453140387,737.7679265541415,214.608128651701,731.5115179460657,198.2607384176967,729.6951412533986,226.7173066028153,705.6786049836886,224.6991102776296,705.6786049836886,199.068016947771,717.9896025673214,211.37901453140387
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img03970.png,722.0259952176929,179.49151259346957,717.5859633022843,243.06469683681962,657.2418931792314,214.608128651701,789.6355721114144,232.77189557837247,719.60415962747,194.0225261348067,717.1823240372472,226.9191262353339,701.4403927007986,210.57173600132958,736.55700875903,212.99357159155244,729.8969608859172,197.85709915265957,730.9060590485101,222.88273358496247,707.2931620438371,223.48819248251817,708.1004405739114,198.2607384176967,717.5859633022843,211.37901453140387
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img04078.png,721.4205363201372,180.29879112354382,719.2005203624328,244.07379499941248,662.085564359677,214.8099482842196,787.2137365211915,232.77189557837247,719.4023399949515,194.42616539984385,717.9896025673214,226.51548697029676,702.65131049591,210.9753752663667,735.9515498614744,211.78265379644102,731.7133375785843,198.46255805021528,731.915157211103,221.8736354223696,707.0913424113186,220.86453725977674,707.4949816763557,198.05891878517815,718.5950614648772,211.78265379644102
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img04102.png,721.8241755851743,178.07877516583952,713.5495706519129,237.21192749378105,658.6546306068614,213.80085012162675,784.5900812984501,232.16643668081676,720.0077988925071,192.00432980962097,717.7877829348029,229.94642072311245,697.6058196829457,212.99357159155244,741.6024995719944,212.99357159155244,733.1260750062144,197.45345988762244,733.9333535362887,225.5063888077039,706.2840638812443,227.92822439792675,705.2749657186514,199.068016947771,719.4023399949515,212.7917519590339
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img04134.png,720.2096185250257,178.68423406339525,717.7877829348029,243.46833610185678,650.3800256735999,212.58993232651528,783.1773438708201,231.35915815074247,720.6132577900629,192.00432980962097,718.1914221998401,231.1573385182239,697.8076393154643,213.3972108565896,741.8043192045129,214.20448938666388,735.7497302289557,197.655279520141,735.9515498614744,225.70820844022245,705.2749657186514,228.13004403044533,705.4767853511701,198.66437768273386,719.4023399949515,213.19539122407102
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img04210.png,726.2642075005829,180.5006107560624,720.0077988925071,240.84468087911534,651.5909434687114,214.8099482842196,782.773704605783,231.56097778326102,718.5950614648772,194.0225261348067,716.77868477221,229.7446010905939,700.2294749056871,211.37901453140387,740.391581776883,212.7917519590339,732.31879647614,198.2607384176967,732.31879647614,225.10274954266674,705.6786049836886,224.9009299101482,706.8895227788,199.67347584532672,719.4023399949515,211.98447342895957
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img04260.png,725.4569289705087,182.31698744872955,718.3932418323586,241.0465005116339,657.44371281175,214.8099482842196,784.5900812984501,229.54278145807532,720.6132577900629,195.03162429739956,717.5859633022843,226.9191262353339,702.0458515983543,210.9753752663667,738.1715658191786,211.78265379644102,730.9060590485101,198.46255805021528,731.5115179460657,223.08455321748102,707.0913424113186,223.2863728499996,708.7058994714672,200.68257400791958,719.4023399949515,212.18629306147815
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img04411.png,723.6405522778415,179.8951518585067,718.7968810973957,240.03740234904103,656.03097538412,213.19539122407102,784.7919009309687,229.94642072311245,720.4114381575444,192.40796907465813,718.7968810973957,229.34096182555675,698.41309821302,210.77355563384816,740.9970406744386,213.19539122407102,735.5479105964372,198.66437768273386,735.1442713314,224.6991102776296,705.0731460861329,225.30456917518532,706.0822442487257,197.85709915265957,718.5950614648772,212.18629306147815
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img04430.png,724.0441915428786,181.30788928613669,715.36594734458,244.27561463193106,656.6364342816756,213.80085012162675,782.1682457082272,229.1391421930382,721.6223559526558,190.18795311695385,719.2005203624328,231.96461704829818,697.4040000504272,213.59903048910815,741.4006799394758,215.21358754925672,735.5479105964372,196.8480009900667,734.5388124338443,226.51548697029676,705.0731460861329,226.7173066028153,704.8713264536143,195.83890282747385,720.0160240897945,214.21819804880948
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img04476.png,727.2733056631757,178.2805947983581,719.2005203624328,249.52292507741393,651.1873042036742,214.40630901918246,788.6264739488215,239.23012381896677,722.0259952176929,189.58249421939814,722.0259952176929,235.59737043363248,696.7985411528714,215.81904644681245,747.0516296499958,217.0299642419239,740.9970406744386,197.45345988762244,738.1715658191786,231.35915815074247,708.30226020643,232.36825631333534,704.8713264536143,196.64618135754813,721.4205363201372,214.40630901918246
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img04479.png,727.4751252956943,177.6751359008024,719.2005203624328,249.52292507741393,658.8564502393799,215.61722681429387,787.8191954187473,235.59737043363248,725.6587486030272,189.58249421939814,721.6223559526558,236.40464896370676,694.17488593013,215.61722681429387,749.4734652402186,217.83724277199815,744.2261547947357,198.2607384176967,740.391581776883,230.95551888570532,705.8804246162072,232.16643668081676,704.4676871885772,197.25164025510384,722.6314541152486,214.8099482842196
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img04551.png,727.2733056631757,179.49151259346957,716.1732258746543,252.95385883022965,654.0127790589343,215.41540718177532,786.2046383585987,233.78099374096533,,,713.3477510193943,241.65195940918963,685.69846136435,210.57173600132958,751.0880223003672,212.58993232651528,741.4006799394758,189.98613348443527,740.391581776883,235.3955508011139,699.4221963756129,235.79919006615103,,,718.5950614648772,211.17719489888532
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img04591.png,725.25510933799,175.05148067806095,717.5859633022843,254.97205515541535,651.9945827337485,216.02086607933103,785.8009990935616,234.18463300600246,,,715.1641277120615,244.47743426444964,684.8911828342757,209.56263783873672,752.0971204629601,217.83724277199815,747.0516296499958,194.829804664881,740.391581776883,239.43194345148532,692.3585092374628,235.3955508011139,,,717.7877829348029,213.19539122407102
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img04616.png,724.0441915428786,176.26239847317237,711.7331939592457,252.14658030015536,657.44371281175,217.83724277199815,792.2592273341559,237.01010786126247,,,,,679.8456920213114,213.3972108565896,753.7116775231086,219.24998019962817,745.8407118548844,191.80251017710242,738.3733854516972,241.0465005116339,,,,,716.77868477221,215.01176791673817
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img04775.png,733.7315339037701,175.05148067806095,715.7695866096171,259.0084478057868,658.0491717093057,216.42450534436816,785.3973598285244,232.77189557837247,,,,,676.2129386359771,216.02086607933103,760.7753646612587,216.82814460940529,,,748.2625474451072,238.82648455392962,688.7257558521286,238.42284528889246,,,716.3750455071729,215.41540718177532
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img04830.png,719.8059792599886,173.84056288294954,715.7695866096171,256.1829729505268,642.5090600053757,212.58993232651528,793.6719647617858,232.97371521089104,,,,,679.4420527562743,213.59903048910815,762.5917413539257,217.6354231394796,,,747.0516296499958,239.6337630840039,689.1293951171657,237.21192749378105,,,718.1914221998401,214.8099482842196
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img05012.png,724.8514700729529,170.6114487626524,714.7604884470243,256.58661221556395,652.1964023662671,213.80085012162675,786.8100972561544,226.51548697029676,,,717.1823240372472,247.70654838474678,677.4238564310886,215.41540718177532,758.5553487035544,217.83724277199815,,,747.0516296499958,239.23012381896677,,,,,718.19142219984,216.82814460940529
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img05055.png,722.6314541152486,171.82236655776381,721.2187166876186,256.7884318480825,660.26918766701,215.41540718177532,780.1500493830415,225.70820844022245,,,,,678.0040756445821,213.62372752111872,759.50296006255,218.89479964765394,,,,,,,,,719.1589849402226,216.25926358438633
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img05290.png,724.2273235234295,176.52348909204383,712.2660444670612,251.737633666835,665.4345959582289,211.59639208783594,777.9517125054233,230.45061161736578,,,,,675.1658060379863,212.8127933478056,753.2182202193734,217.88113193101256,,,,,738.418671556409,240.79002232710798,716.3207153336267,214.43466169443184,,
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img05381.png,727.4710602166821,176.52348909204383,717.7398501369247,252.34583429681985,666.2455301315421,213.21826043446217,780.1817814820344,227.0041413807851,,,,,,,755.4482891959844,212.40732626114905,,,742.4733424229746,235.72168374390102,,,,,713.4824457270308,212.6100598044773
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img05431.png,721.1863203735054,177.7398903520135,710.4414425771067,249.1020976035674,663.0017934382896,211.59639208783594,781.398182742004,230.85607870402237,,,710.0359754904501,245.45289382365837,,,753.62368730603,212.0018591744925,,,744.7034113995857,235.9244172872293,,,,,718.5507843102378,210.37999082786627
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img05688.png,725.8491918700558,177.33442326535692,715.9152482469702,250.52123240686532,667.2591978481835,212.0018591744925,777.3435118754385,228.82874327073958,,,,,,,755.4482891959844,215.24559586774495,,,740.4460069896918,237.95175272051208,,,,,713.8879128136874,211.19092500117938
